== Optimized simulation (option2) ==
1000 tasks, 70% IO / 30% CPU, 8 workers, cap 100%
DISPATCH kind=Cpu cpu_running=2 io_q=166 cpu_q=45 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=166 cpu_q=45 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=165 cpu_q=49 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=168 cpu_q=49 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=167 cpu_q=49 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=167 cpu_q=48 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=169 cpu_q=47 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=171 cpu_q=48 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=173 cpu_q=49 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=172 cpu_q=49 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=172 cpu_q=48 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=172 cpu_q=49 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=175 cpu_q=49 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=176 cpu_q=51 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=175 cpu_q=51 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=175 cpu_q=50 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=176 cpu_q=50 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=177 cpu_q=52 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=179 cpu_q=53 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=178 cpu_q=53 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=178 cpu_q=52 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=177 cpu_q=54 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=180 cpu_q=54 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=182 cpu_q=55 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=182 cpu_q=54 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=182 cpu_q=53 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=182 cpu_q=53 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=185 cpu_q=54 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=186 cpu_q=56 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=185 cpu_q=56 cpu%=40 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=185 cpu_q=55 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=185 cpu_q=55 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=186 cpu_q=58 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=189 cpu_q=58 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=188 cpu_q=58 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=188 cpu_q=57 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=188 cpu_q=57 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=193 cpu_q=56 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=195 cpu_q=57 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=194 cpu_q=57 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=194 cpu_q=56 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=193 cpu_q=57 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=194 cpu_q=60 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=198 cpu_q=59 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=197 cpu_q=59 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=197 cpu_q=58 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=196 cpu_q=59 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=198 cpu_q=61 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=200 cpu_q=62 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=200 cpu_q=61 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=200 cpu_q=60 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=200 cpu_q=60 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=204 cpu_q=60 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=206 cpu_q=61 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=205 cpu_q=61 cpu%=40 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=205 cpu_q=60 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=206 cpu_q=59 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=209 cpu_q=60 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=209 cpu_q=63 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=208 cpu_q=63 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=208 cpu_q=62 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=208 cpu_q=62 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=210 cpu_q=64 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=212 cpu_q=65 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=211 cpu_q=65 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=211 cpu_q=64 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=211 cpu_q=64 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=212 cpu_q=67 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=215 cpu_q=67 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=214 cpu_q=67 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=214 cpu_q=66 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=213 cpu_q=67 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=215 cpu_q=69 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=217 cpu_q=70 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=217 cpu_q=69 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=217 cpu_q=68 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=217 cpu_q=68 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=221 cpu_q=68 cpu%=100 busy=5
