elapsed_ms,cpu_pct,workers_active,queue_len
19783,100,5,485
19793,100,5,485
19804,100,5,486
19814,100,5,486
19824,100,5,487
19835,75,5,486
19845,75,5,487
19855,75,5,487
19865,75,5,488
19876,75,5,488
19886,75,5,489
19896,75,5,489
19906,100,5,489
19916,100,5,489
19927,100,5,488
19937,100,5,488
19947,100,5,489
19957,100,5,488
19967,100,5,489
19977,100,5,490
19988,100,5,490
19998,100,5,491
20008,100,5,491
20018,100,5,492
20028,100,5,491
20038,100,5,492
20049,100,5,492
20059,100,5,493
20069,100,5,493
20079,100,5,494
20089,100,5,494
20100,75,5,494
20110,75,5,494
20120,100,5,493
20130,100,5,493
20141,100,5,493
20151,100,5,492
20162,100,5,492
20172,100,5,492
20182,100,5,492
20192,100,5,492
20203,100,5,492
20213,100,5,492
20223,100,5,492
20233,100,5,491
20243,100,5,491
20253,100,5,491
20264,100,5,491
20274,100,5,491
20284,100,5,491
20294,100,5,491
20304,100,5,490
20314,100,5,490
20325,75,5,488
20335,75,5,488
20345,75,5,488
20355,100,5,487
20365,100,5,487
20375,100,5,487
20385,100,5,487
20396,100,5,487
20406,100,5,487
20416,100,5,487
20426,100,5,487
20436,100,5,486
20447,100,5,486
20457,100,5,486
20467,100,5,486
20477,100,5,486
20488,100,5,486
20498,100,5,486
20508,100,5,485
20518,100,5,485
20529,75,5,483
20539,75,5,483
20550,75,5,482
20560,75,5,482
20571,75,5,482
20582,75,5,482
20592,75,5,482
20602,75,5,482
20612,75,5,482
20623,75,5,482
20633,100,5,481
20643,100,5,481
20653,100,5,481
20663,100,5,481
20673,100,5,481
20684,100,5,481
20694,100,5,481
20704,100,5,480
20714,100,5,480
20724,100,5,478
20734,100,5,478
20745,100,5,478
20755,75,5,477
20765,75,5,477
20776,75,5,477
20786,75,5,477
20796,75,5,477
20806,75,5,477
20816,75,5,477
20826,75,5,477
20837,75,5,476
20847,75,5,476
20857,75,5,476
20867,75,5,476
20877,75,5,476
20887,75,5,476
20898,75,5,476
20908,100,5,475
20918,100,5,475
20928,100,5,473
20938,100,5,473
20948,100,5,473
20958,100,5,472
20969,100,5,472
20979,100,5,472
20989,100,5,472
20999,100,5,472
21009,100,5,472
21020,100,5,472
21030,75,5,471
21040,75,5,471
21050,75,5,471
21060,75,5,471
21070,75,5,471
21081,75,5,471
21091,75,5,471
21101,75,5,470
21111,75,5,470
21121,100,5,468
21131,100,5,468
21141,100,5,468
21152,100,5,467
21162,100,5,467
21172,100,5,467
21182,100,5,467
21192,100,5,467
21202,100,5,467
21213,100,5,467
21223,100,5,467
21233,100,5,466
21243,100,5,466
21253,100,5,466
21263,100,5,466
21274,100,5,466
21284,100,5,466
21294,100,5,466
21304,75,5,465
21314,75,5,465
21324,100,5,463
21335,100,5,463
21345,100,5,463
21355,100,5,462
21365,100,5,462
21375,100,5,462
21385,100,5,462
21396,100,5,462
21406,100,5,462
21416,100,5,462
21426,100,5,462
21436,100,5,461
21446,100,5,461
21457,100,5,461
21467,100,5,461
21477,100,5,461
21487,100,5,461
21497,100,5,461
21507,100,5,460
21518,100,5,460
21528,75,5,458
21538,75,5,458
21548,75,5,458
21558,100,5,457
21568,100,5,457
21578,100,5,457
21589,100,5,457
21599,100,5,457
21609,100,5,457
21619,100,5,457
21629,100,5,456
21639,100,5,456
21649,100,5,456
21660,100,5,456
21670,100,5,456
21680,100,5,456
21690,100,5,456
21700,100,5,455
21711,100,5,455
21721,75,5,453
21731,75,5,453
21741,75,5,453
21751,75,5,452
21761,75,5,452
21771,75,5,452
21782,75,5,452
